episode,raw,roll10
336,99.618172,90.823506
337,83.317321,90.029538
338,94.539697,91.124563
339,94.605827,91.755761
340,103.146646,92.534603
341,98.537931,93.617288
342,89.193144,93.641534
343,96.805629,94.268758
344,103.167636,95.774792
345,104.384754,96.731676
346,100.438624,96.813721
347,86.019575,97.083946
348,91.934237,96.823400
349,94.381432,96.800961
350,91.191600,95.605456
351,100.735447,95.825208
352,94.987145,96.404608
353,105.765662,97.300611
354,84.505254,95.434373
355,102.201979,95.216095
356,87.021280,93.874361
357,96.025217,94.874925
358,87.984939,94.479995
359,93.213011,94.363153
360,98.343678,95.078361
361,106.080374,95.612854
362,85.977218,94.711861
363,93.786633,93.513958
364,87.667836,93.830217
365,101.694245,93.779443
366,88.596687,93.936984
367,89.858399,93.320302
368,103.408203,94.862628
369,86.737980,94.215125
370,105.266218,94.907379
371,91.776427,93.476985
372,107.875732,95.666836
373,88.384384,95.126611
374,88.248579,95.184685
375,96.690806,94.684341
376,93.098904,95.134563
377,100.555423,96.204266
378,93.130676,95.176513
379,93.827165,95.885431
380,87.000299,94.058839
381,88.663471,93.747544
382,86.865861,91.646557
383,97.028221,92.510941
384,106.230436,94.309126
385,98.849123,94.524958
386,94.232594,94.638327
387,97.300433,94.312828
388,104.121508,95.411911
389,106.506487,96.679843
390,89.481063,96.927920
391,101.731660,98.234739
392,94.118196,98.959972
393,108.102910,100.067441
394,103.686815,99.813079
395,100.796231,100.007790
396,102.543383,100.838869
397,104.728356,101.581661
398,89.599865,100.129497
399,95.201069,98.998955
400,89.043890,98.955237
401,91.649770,97.947048
402,108.741071,99.409336
403,100.989639,98.698009
404,92.882901,97.617617
405,95.036221,97.041617
406,97.844932,96.571771
407,90.565350,95.155471
408,106.684896,96.863974
409,97.211954,97.065062
410,90.137525,97.174426
411,100.287915,98.038240
412,98.137686,96.977902
413,105.889033,97.467841
414,94.965770,97.676128
415,94.482275,97.620734
416,100.340776,97.870318
417,98.277307,98.641514
418,92.284357,97.201460
419,105.684376,98.048702
420,108.622633,99.897213
421,107.918596,100.660281
422,104.169934,101.263506
423,100.123493,100.686952
424,107.216859,101.912061
425,94.533877,101.917221
426,92.131929,101.096336
427,94.527479,100.721353
428,101.753676,101.668285
429,94.722555,100.572103
430,99.790648,99.688905
431,108.141915,99.711237
432,103.914852,99.685728
433,94.765030,99.149882
434,93.129467,97.741143
435,90.634533,97.351208
436,91.693173,97.307333
437,96.381832,97.492768
438,106.351635,97.952564
439,108.993725,99.379681
440,99.303405,99.330957
441,91.870088,97.703774
442,103.231739,97.635463
443,111.841866,99.343146
444,91.369550,99.167155
445,104.926670,100.596368
446,113.106275,102.737679
447,98.328043,102.932300
448,104.280742,102.725210
449,109.159739,102.741812
450,106.024116,103.413883
451,95.224709,103.749345
452,108.778184,104.303989
453,104.423761,103.562179
454,106.111622,105.036386
455,104.817593,105.025478
456,109.860662,104.700917
457,104.320223,105.300135
458,112.109452,106.083006
459,94.286717,104.595704
460,92.430144,103.236307
461,94.983715,103.212207
462,103.172918,102.651681
463,107.868434,102.996148
464,112.297828,103.614769
465,92.321592,102.365169
466,92.383316,100.617434
467,100.677706,100.253182
468,106.772253,99.719462
469,101.137084,100.404499
470,98.566849,101.018170
471,96.916870,101.211485
472,108.187564,101.712950
473,105.900045,101.516111
474,113.561791,101.642507
475,99.849119,102.395260
476,103.173025,103.474231
477,113.913213,104.797781
478,108.190078,104.939564
479,98.590900,104.684946
480,108.921698,105.720430
481,102.772755,106.306019
482,94.950913,104.982354
483,95.340094,103.926359
484,104.031183,102.973298
485,99.966150,102.985001
486,98.871770,102.554875
487,109.118239,102.075378
488,98.919922,101.148362
489,103.215366,101.610809
490,104.523627,101.171002
491,93.556755,100.249402
492,111.116354,101.865946
493,99.357321,102.267669
494,97.069356,101.571486
495,104.873117,102.062183
496,98.286348,102.003641
497,94.348975,100.526714
498,96.182130,100.252935
499,94.608161,99.392214
500,101.559312,99.095783
501,100.986417,99.838749
502,98.461774,98.573291
503,97.735947,98.411154
504,112.518584,99.956076
505,106.632692,100.132034
506,107.355997,101.038999
507,94.257984,101.029900
508,114.397822,102.851469
509,94.838516,102.874504
510,110.972745,103.815848
511,108.586238,104.575830
512,103.283661,105.058018
513,101.655643,105.449988
514,106.226552,104.820785
515,107.146385,104.872154
516,112.937471,105.430302
517,95.681561,105.572659
518,96.432225,103.776100
519,108.247371,105.116985
520,100.795679,104.099279
521,107.342661,103.974921
522,103.039637,103.950518
523,95.406080,103.325562
524,112.813425,103.984250
525,98.837331,103.153344
526,102.101545,102.069752
527,111.155309,103.617126
528,114.941868,105.468091
529,113.710471,106.014401
530,115.355827,107.470415
531,101.968937,106.933043
532,100.111440,106.640223
533,105.099006,107.609516
534,113.254202,107.653593
535,109.357322,108.705593
536,108.859766,109.381415
537,110.676530,109.333537
538,99.926120,107.831962
539,107.679916,107.228907
540,104.645370,106.157861
541,114.647284,107.425696
542,102.122337,107.626785
543,107.316103,107.848495
544,109.285448,107.451620
545,110.931026,107.608990
546,112.752966,107.998310
547,111.914774,108.122135
548,98.429814,107.972504
549,116.769643,108.881477
550,96.383880,108.055328
551,111.686603,107.759259
552,102.306301,107.777656
553,97.866501,106.832696
554,103.659193,106.270070
555,98.223973,104.999365
556,100.391884,103.763257
557,117.046372,104.276417
558,113.670800,105.800515
559,103.976385,104.521189
560,106.731559,105.555957
